pred2ndNext	pred1rstNext	DrawId	Feat-Effectifs-Over10-MedianEffsOfOutputs	Feat-Effectifs-Over10-andSupa20-MeanEffsIn	Feat-Effectifs-Over10-andSupa20-MeanEffsOut	Feat-Effectifs-Over10-andSupa20-MedianEffsIn	Feat-Effectifs-Over10-andSupa20-MedianEffsOut
1	2	20190124	2	2.57	0.67	2.0	1.0
2	2	20190123	2	2.57	0.67	2.0	1.0
2	2	20190122	2	2.38	0.5	2.0	0.5
2	2	20190121	1	2.25	1.0	2.0	1.0
2	1	20190119	2	2.43	1.0	2.0	1.0
1	2	20190118	1	2.12	1.5	2.0	1.5
2	1	20190117	2	2.14	1.67	2.0	1.0
1	2	20190116	3	2.14	1.67	2.0	1.0
2	3	20190115	2	2.0	2.0	2.0	1.0
3	2	20190114	1	1.88	2.5	1.5	2.5
2	1	20190112	3	2.0	2.0	2.0	1.0
1	3	20190111	1	1.86	2.33	2.0	2.0
3	1	20190110	2	2.0	2.0	2.0	1.0
1	2	20190109	1	2.12	1.5	2.0	1.5
2	1	20190108	1	2.12	1.5	2.0	1.5
1	1	20190107	2	2.29	1.33	2.0	1.0
1	2	20190105	2	2.29	1.33	2.0	1.0
2	2	20190104	1	2.14	1.67	2.0	2.0
2	1	20190103	1	2.33	1.5	2.0	1.5
1	1	20190102	2	2.8	1.2	2.0	1.0
1	2	20190101	2	2.83	0.75	2.5	0.5
2	2	20191231	2	2.83	0.75	2.5	0.5
2	2	20181229	4	2.57	0.67	2.0	0.0
2	4	20181228	1	2.57	0.67	2.0	0.0
4	1	20181227	3	2.71	0.33	2.0	0.0
1	3	20181226	3	2.71	0.33	3.0	0.0
3	3	20181225	1	2.71	0.33	3.0	0.0
3	1	20181224	2	2.83	0.75	2.5	0.5
1	2	20181222	1	2.83	0.75	2.5	0.5
2	1	20181221	3	3.0	1.0	3.0	1.0
1	3	20181220	2	2.83	0.75	3.0	0.5
3	2	20181219	1	2.67	1.0	2.5	1.0
2	1	20181218	2	3.2	0.8	4.0	1.0
1	2	20181217	2	3.0	1.0	3.0	1.0
2	2	20181215	3	2.67	1.0	2.5	0.5
2	3	20181214	2	2.67	1.0	2.5	0.5
3	2	20181213	1	2.67	1.0	2.5	0.5
2	1	20181212	3	2.6	1.4	2.0	1.0
1	3	20181211	3	2.5	1.25	2.5	0.5
3	3	20181210	2	2.33	1.5	2.0	1.0
3	2	20181208	2	2.57	0.67	3.0	1.0
2	2	20181207	1	2.38	0.5	2.5	0.5
2	1	20181206	2	2.57	0.67	3.0	0.0
1	2	20181205	2	2.43	1.0	2.0	0.0
2	2	20181204	1	2.29	1.33	2.0	1.0
2	1	20181203	2	2.17	1.75	1.5	2.0
1	2	20181201	1	2.29	1.33	2.0	1.0
2	1	20181130	3	2.5	1.25	2.5	1.0
1	3	20181129	2	2.5	1.25	2.5	1.0
3	2	20181128	4	2.57	0.67	2.0	1.0
2	4	20181127	1	2.57	0.67	3.0	1.0
4	1	20181126	3	2.5	1.25	2.5	1.5
1	3	20181124	1	2.5	1.25	2.5	1.5
3	1	20181123	2	2.8	1.2	3.0	1.0
1	2	20181122	1	2.5	1.25	2.5	1.0
2	1	20181121	3	2.6	1.4	3.0	1.0
1	3	20181120	2	2.33	1.5	2.5	1.5
3	2	20181119	1	2.29	1.33	2.0	1.0
2	1	20181117	3	2.57	0.67	3.0	1.0
1	3	20181116	2	2.38	0.5	2.5	0.5
3	2	20181115	1	2.38	0.5	3.0	0.5
2	1	20181114	2	2.43	1.0	3.0	1.0
1	2	20181113	1	2.12	1.5	2.0	1.5
2	1	20181112	2	2.38	0.5	2.5	0.5
1	2	20181110	1	2.38	0.5	2.5	0.5
2	1	20181109	1	2.71	0.33	3.0	0.0
1	1	20181108	2	2.83	0.75	3.0	1.0
1	2	20181107	3	2.43	1.0	3.0	1.0
2	3	20181106	1	2.43	1.0	2.0	1.0
3	1	20181105	2	2.43	1.0	3.0	1.0
1	2	20181103	2	2.29	1.33	3.0	1.0
2	2	20181102	1	2.0	2.0	1.5	2.0
2	1	20181101	3	2.0	2.0	2.0	2.0
1	3	20181031	1	2.0	2.0	2.0	2.0
3	1	20181030	2	2.14	1.67	2.0	2.0
1	2	20181029	2	2.14	1.67	2.0	2.0
2	2	20181027	1	2.12	1.5	2.0	1.5
2	1	20181026	1	2.43	1.0	3.0	0.0
1	1	20181025	1	2.5	1.25	3.0	1.0
1	1	20181024	3	2.33	1.5	2.5	1.0
1	3	20181023	1	2.57	0.67	3.0	0.0
3	1	20181022	2	2.5	1.25	2.5	1.0
1	2	20181020	2	2.43	1.0	2.0	0.0
2	2	20181019	1	2.5	0.0	2.0	0.0
2	1	20181018	1	2.71	0.33	2.0	0.0
1	1	20181017	2	3.0	0.5	3.0	0.5
1	2	20181016	1	2.71	0.33	3.0	0.0
2	1	20181015	1	2.83	0.75	3.0	0.5
1	1	20181013	2	3.2	0.8	3.0	1.0
1	2	20181012	4	3.2	0.8	3.0	1.0
2	4	20181011	3	2.83	0.75	2.5	1.0
4	3	20181010	2	2.67	1.0	2.5	1.0
3	2	20181009	3	2.67	1.0	2.5	1.0
2	3	20181008	3	2.67	1.0	2.5	1.0
3	3	20181006	2	2.29	1.33	2.0	1.0
3	2	20181005	1	2.29	1.33	2.0	1.0
2	1	20181004	2	2.33	1.5	2.5	1.5
1	2	20181003	2	2.29	1.33	2.0	1.0
2	2	20181002	2	2.29	1.33	2.0	1.0
2	2	20181001	2	2.12	1.5	2.0	1.5
2	2	20180929	2	2.0	2.0	2.0	2.0
2	2	20180928	1	2.0	2.0	2.0	2.0
2	1	20180927	1	2.0	2.0	2.0	2.0
1	1	20180926	1	2.25	1.0	2.0	1.0
1	1	20180925	2	2.38	0.5	2.0	0.5
1	2	20180924	2	2.38	0.5	2.5	0.5
2	2	20180922	2	2.38	0.5	2.0	0.5
2	2	20180921	1	2.38	0.5	2.0	0.5
2	1	20180920	1	2.38	0.5	2.0	0.5
